kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_ms;nazov_ms
a000;Cholera zapríčinená Vibrio cholerae 01, biovar cholerae;S63-23;Iné infekčné ochorenia GIT
a001;Cholera zapríčinená Vibrio cholerae 01, biovar eltor;S63-23;Iné infekčné ochorenia GIT
a009;Cholera, bližšie neurčená;S63-23;Iné infekčné ochorenia GIT
a010;Brušný týfus;S71-07;Sepsa
a011;Paratýfus A;S71-07;Sepsa
a012;Paratýfus B;S71-07;Sepsa
a013;Paratýfus C;S71-07;Sepsa
a014;Paratýfus, bližšie neurčený;S71-08;Iné infekčné ochorenia
a020;Salmonelová enteritída;S63-24;Infekčná gastroenteritída I
a021;Salmonelová sepsa;S71-07;Sepsa
a022;Lokalizovaná salmonelová infekcia;S71-08;Iné infekčné ochorenia
a028;Iná salmonelová infekcia, bližšie určená;S71-08;Iné infekčné ochorenia
a029;Salmonelová infekcia, bližšie neurčená;S71-08;Iné infekčné ochorenia
a030;Šigelóza zapríčinená Shigella dysenteriae;S63-23;Iné infekčné ochorenia GIT
a031;Šigelóza zapríčinená Shigella flexneri;S63-23;Iné infekčné ochorenia GIT
a032;Šigelóza zapríčinená Shigella boydii;S63-23;Iné infekčné ochorenia GIT
a033;Šigelóza zapríčinená Shigella sonnei;S63-23;Iné infekčné ochorenia GIT
a038;Iná šigelóza;S63-23;Iné infekčné ochorenia GIT
a039;Šigelóza, bližšie neurčená;S63-23;Iné infekčné ochorenia GIT
a040;Infekcia zapríčinená enteropatogénnou Escherichia coli;S63-24;Infekčná gastroenteritída I
a041;Infekcia zapríčinená enterotoxikogénnou Escherichia coli;S63-23;Iné infekčné ochorenia GIT
a042;Infekcia zapríčinená enteroinvazívnou Escherichia coli;S63-23;Iné infekčné ochorenia GIT
a043;Infekcia zapríčinená enterohemoragickou Escherichia coli;S63-23;Iné infekčné ochorenia GIT
a044;Iné črevné infekcie zapríčinené Escherichia coli;S63-23;Iné infekčné ochorenia GIT
a045;Enteritída zapríčinená kampylobakterom;S63-23;Iné infekčné ochorenia GIT
a046;Enteritída zapríčinená Yersinia enterocolitica;S63-23;Iné infekčné ochorenia GIT
a047;Enterokolitída zapríčinená Clostridium difficile;S63-23;Iné infekčné ochorenia GIT
a0481;Enteritída zapríčinená Arcobacter spp.;S63-23;Iné infekčné ochorenia GIT
a0489;Iná baktériová črevná infekcia, bližšie určená;S63-24;Infekčná gastroenteritída I
a049;Baktériová črevná infekcia, bližšie neurčená;S63-24;Infekčná gastroenteritída I
a050;Potravinová otrava zapríčinená stafylokokmi;S63-24;Infekčná gastroenteritída I
a051;Botulizmus;S71-08;Iné infekčné ochorenia
a052;Potravinová otrava zapríčinená Clostridium perfringens (Clostridium welchii);S63-23;Iné infekčné ochorenia GIT
a053;Potravinová otrava zapríčinená Vibrio parahaemolyticus;S63-24;Infekčná gastroenteritída I
a054;Potravinová otrava zapríčinená Bacillus cereus;S63-24;Infekčná gastroenteritída I
a058;Iná bližšie určená baktériová potravinová otrava;S63-24;Infekčná gastroenteritída I
a059;Bližšie neurčená baktériová potravinová otrava;S63-24;Infekčná gastroenteritída I
a060;Akútna amébová dyzentéria;S63-23;Iné infekčné ochorenia GIT
a061;Chronická črevná amebóza;S63-23;Iné infekčné ochorenia GIT
a062;Amébová nedyzenterická kolitída;S63-23;Iné infekčné ochorenia GIT
a063;Črevný amebóm;S71-08;Iné infekčné ochorenia
a064;Amébový absces pečene;S66-11;Ochorenia pečene III
a065;Amébový absces pľúc (J99.8*);S65-06;Iné infekcie a zápaly dýchacích orgánov III
a066;Amébový absces mozgu (G07*);S73-32;Infekcia nervového systému
a067;Kožná amebóza;S61-01;Závažné ochorenia kože
a068;Amébová infekcia na iných miestach;S71-08;Iné infekčné ochorenia
a069;Bližšie neurčená amebóza;S71-08;Iné infekčné ochorenia
a070;Balantidióza;S63-23;Iné infekčné ochorenia GIT
a071;Giardióza [lambliáza];S63-23;Iné infekčné ochorenia GIT
a072;Kryptosporidióza;S63-23;Iné infekčné ochorenia GIT
a073;Izosporióza;S63-23;Iné infekčné ochorenia GIT
a078;Iná protozoárna črevná choroba, bližšie určená;S63-23;Iné infekčné ochorenia GIT
a079;Protozoárna črevná choroba, bližšie neurčená;S63-23;Iné infekčné ochorenia GIT
a080;Rotavírusová enteritída;S63-23;Iné infekčné ochorenia GIT
a081;Akútna gastroenteritída zapríčinená norovírusom [Norwalk];S63-24;Infekčná gastroenteritída I
a082;Adenovírusová enteritída;S63-23;Iné infekčné ochorenia GIT
a083;Iná vírusová enteritída;S63-24;Infekčná gastroenteritída I
a084;Vírusová črevná infekcia, bližšie neurčená;S63-24;Infekčná gastroenteritída I
a085;Iné, bližšie určené črevné infekcie;S63-23;Iné infekčné ochorenia GIT
a090;Iná a bližšie neurčená gastroenteritída a kolitída infekčného pôvodu;S63-24;Infekčná gastroenteritída I
a099;Iná a bližšie neurčená gastroenteritída a kolitída bližšie neurčeného pôvodu;S63-24;Infekčná gastroenteritída I
a150;Tuberkulóza pľúc, potvrdená mikroskopickým vyšetrením spúta s dôkazom, alebo bez dôkazu kultivačne alebo molekulovobiologicky;S65-01;Tuberkulóza
a151;Tuberkulóza pľúc, potvrdená len kultivačne;S65-01;Tuberkulóza
a152;Tuberkulóza pľúc, potvrdená histologicky;S65-01;Tuberkulóza
a153;Tuberkulóza pľúc, potvrdená inými a bližšie neurčenými metódami;S65-01;Tuberkulóza
a154;Tuberkulóza vnútrohrudníkových lymfatických uzlín, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
a155;Tuberkulóza hrtana, priedušnice a priedušiek, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
a156;Tuberkulózna pleuritída, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
a157;Primárna tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
a158;Iná tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
a159;Tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky, bližšie neurčená;S65-01;Tuberkulóza
a160;Tuberkulóza pľúc bakteriologicky, molekulovobiologicky alebo histologicky negatívna;S65-01;Tuberkulóza
a161;Tuberkulóza pľúc, bez vykonania bakteriologického, molekulovobiologického a histologického vyšetrenia;S65-01;Tuberkulóza
a162;Tuberkulóza pľúc, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
a163;Tuberkulóza vnútrohrudníkových lymfatických uzlín, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
a164;Tuberkulóza hrtana, priedušnice a priedušiek bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
a165;Tuberkulózna pleuritída, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
a166;Latentná turberkulózna infekcia;S65-01;Tuberkulóza
a167;Primárna tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
