cislo_programu;nazov_programu;uroven_programu;povinnost_programu_V;povinnost_programu_IV;povinnost_programu_III;povinnost_programu_II;povinnost_programu_I;od;do
1;Program anestéziológie a intenzívnej medicíny;5;N;N;;;;2024-01-01;2025-12-31
1;Program anestéziológie a intenzívnej medicíny;4;N;N;N;;;2024-01-01;2025-12-31
1;Program anestéziológie a intenzívnej medicíny;3;N;N;N;N;;2024-01-01;2025-12-31
1;Program anestéziológie a intenzívnej medicíny;2;N;N;N;N;N;2024-01-01;2025-12-31
1;Program anestéziológie a intenzívnej medicíny;1;N;N;N;N;N;2024-01-01;2025-12-31
1;Program anestéziológie a intenzívnej medicíny;5;P;D;;;;2026-01-01;
1;Program anestéziológie a intenzívnej medicíny;4;P;P;D;;;2026-01-01;
1;Program anestéziológie a intenzívnej medicíny;3;P;P;P;D;;2026-01-01;
1;Program anestéziológie a intenzívnej medicíny;2;P;P;P;P;D;2026-01-01;
1;Program anestéziológie a intenzívnej medicíny;1;P;P;D;D;D;2026-01-01;
2;Traumatologický program;5;N;;;;;2024-01-01;2025-12-31
2;Traumatologický program;4;P;P;D;;;2024-01-01;2025-12-31
2;Traumatologický program;3;P;P;P;D;;2024-01-01;2025-12-31
2;Traumatologický program;2;P;P;P;P;N;2024-01-01;2025-12-31
2;Traumatologický program;1;N;N;N;N;N;2024-08-01;2025-12-31
2;Traumatologický program;5;N;;;;;2026-01-01;
2;Traumatologický program;4;P;P;D;;;2026-01-01;
2;Traumatologický program;3;P;P;P;D;;2026-01-01;
2;Traumatologický program;2;P;P;P;P;D;2026-01-01;
2;Traumatologický program;1;N;N;N;N;N;2026-01-01;
3;Neurochirurgický program;5;;;;;;2024-01-01;
3;Neurochirurgický program;4;P;P;D;;;2024-01-01;
3;Neurochirurgický program;3;P;P;D;;;2024-01-01;
3;Neurochirurgický program;2;N;N;N;N;N;2024-08-01;
3;Neurochirurgický program;1;N;N;N;N;N;2024-08-01;
4;Oftalmologický program;5;P;D;;;;2024-01-01;
4;Oftalmologický program;4;P;P;D;;;2024-01-01;
4;Oftalmologický program;3;P;P;P;D;;2024-01-01;
4;Oftalmologický program;2;N;N;N;N;N;2024-08-01;
4;Oftalmologický program;1;N;N;N;N;N;2024-01-01;
5;Otorinolaryngologický program;5;;;;;;2024-01-01;
5;Otorinolaryngologický program;4;P;P;D;;;2024-01-01;
5;Otorinolaryngologický program;3;P;P;P;D;;2024-01-01;
5;Otorinolaryngologický program;2;N;N;N;N;N;2024-08-01;
5;Otorinolaryngologický program;1;P;P;P;N;N;2024-01-01;
6;Program stomato-maxilo-faciálnej chirurgie;5;N;N;N;;;2024-01-01;2024-12-31
6;Program stomato-maxilo-faciálnej chirurgie;4;P;D;D;;;2024-01-01;2024-12-31
6;Program stomato-maxilo-faciálnej chirurgie;3;P;P;P;;;2024-01-01;2024-12-31
6;Program stomato-maxilo-faciálnej chirurgie;2;N;N;N;N;N;2024-08-01;2024-12-31
6;Program stomato-maxilo-faciálnej chirurgie;1;N;N;N;N;N;2024-08-01;2024-12-31
6;Program stomato-maxilo-faciálnej chirurgie;5;P;D;D;;;2025-01-01;
6;Program stomato-maxilo-faciálnej chirurgie;4;P;D;D;;;2025-01-01;
6;Program stomato-maxilo-faciálnej chirurgie;3;P;P;P;;;2025-01-01;
6;Program stomato-maxilo-faciálnej chirurgie;2;N;N;N;N;N;2025-01-01;
6;Program stomato-maxilo-faciálnej chirurgie;1;N;N;N;N;N;2025-01-01;
7;Program hrudníkovej chirurgie;5;P;D;;;;2024-01-01;
7;Program hrudníkovej chirurgie;4;P;D;;;;2024-01-01;
7;Program hrudníkovej chirurgie;3;P;D;D;;;2024-01-01;
7;Program hrudníkovej chirurgie;2;N;N;N;N;N;2024-08-01;
7;Program hrudníkovej chirurgie;1;N;N;N;N;N;2024-08-01;
8;Program brušnej chirurgie;5;;;;;;2024-01-01;2025-12-31
8;Program brušnej chirurgie;4;P;P;D;;;2024-01-01;2025-12-31
8;Program brušnej chirurgie;3;P;P;P;D;;2024-01-01;2025-12-31
8;Program brušnej chirurgie;2;P;P;P;P;N;2024-01-01;2025-12-31
8;Program brušnej chirurgie;1;P;P;P;P;N;2024-01-01;2025-12-31
8;Program brušnej chirurgie;5;;;;;;2026-01-01;
8;Program brušnej chirurgie;4;P;P;D;;;2026-01-01;
8;Program brušnej chirurgie;3;P;P;P;D;;2026-01-01;
8;Program brušnej chirurgie;2;P;P;P;P;D;2026-01-01;
8;Program brušnej chirurgie;1;P;P;P;P;N;2026-01-01;
9;Urologický program;5;P;D;;;;2024-01-01;
9;Urologický program;4;P;P;D;;;2024-01-01;
9;Urologický program;3;P;P;P;D;;2024-01-01;
9;Urologický program;2;P;P;P;D;;2024-01-01;
9;Urologický program;1;P;P;P;N;N;2024-01-01;
10;Gynekologický program;5;P;D;;;;2024-01-01;2025-12-31
10;Gynekologický program;4;P;P;D;D;;2024-01-01;2025-12-31
10;Gynekologický program;3;P;P;P;D;;2024-01-01;2025-12-31
10;Gynekologický program;2;P;P;P;P;N;2024-01-01;2025-12-31
10;Gynekologický program;1;P;P;P;P;N;2024-01-01;2025-12-31
10;Gynekologický program;5;P;D;;;;2026-01-01;
10;Gynekologický program;4;P;P;D;D;;2026-01-01;
10;Gynekologický program;3;P;P;P;D;;2026-01-01;
10;Gynekologický program;2;P;P;P;P;D;2026-01-01;
10;Gynekologický program;1;P;P;P;P;N;2026-01-01;
11;Pôrodnícky program;5;P;D;;;;2024-01-01;2025-12-31
