cislo_programu;kod_ms;zdielana_ms;nazov_ms;sposob_urcenia;uroven_ms_dospeli;uroven_ms_deti_0;uroven_ms_deti_1;uroven_ms_deti_7;uroven_ms_deti_16;povinnost_ms_V;povinnost_ms_IV;povinnost_ms_III;povinnost_ms_II;povinnost_ms_I;casova_dostupnost;minimum_na_nemocnicu;minimum_na_lekara
1;S32-01;True;Alogénna transplantácia krvotvotvorných buniek;V;5;;;;;P;;;;;;10;
1;S16-01;True;Ťažké popáleniny a poleptania;D;5;;;;;P;;;;;;;
1;S01-04;False;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy;V;4;;;;;P;P;;;;;;
1;S01-03;False;Podpora dýchania vyžadujúca úzko špecializované postupy ;V;4;;;;;P;P;;;;;;
1;S01-02;False;Podpora krvného obehu vyžadujúca úzko špecializované postupy ;V;4;;;;;P;P;;;;;;
1;S01-01;False;Kritické poruchy vnútorného prostredia vyžadujúce úzko špecializované postupy ;V;4;;;;;P;P;;;;;;
1;S32-15;True;Intratekálna diagnostika a liečba;V;4;;;;;P;P;;;;;;
1;S32-14;True;Aferetické výkony;V;4;;;;;P;P;;;;;;
1;S32-05;True;Autológna transplantácia krvotvotvorných buniek;V;4;;;;;P;N;;;;;5;
1;S30-01;True;Komplikácie pri transplantácii obličky;D;4;;;;;P;P;;;;;;
1;S28-09;True;Stav po transplantácii pečene;D;4;;;;;P;P;;;;;;
1;S27-03;True;Vysoko komplexné výkony na respiračnom systéme;V;4;;;;;N;N;;;;;;
1;S11-04;True;Predpôrodná starostlivosť pre komplikácie gravidity;D;3;;;3;3;P;P;P;;;;;
1;S01-14;False;Komplexná intenzívna starostlivosť po transplantácii orgánu;D;3;;;;;P;P;N;;;;;
1;S01-13;False;Komplexná intenzívna starostlivosť po transplantácii obličky a pankreasu ;D;3;;;;;P;P;N;;;;;
1;S01-12;False;Komplexná intenzívna starostlivosť po transplantácii srdca a pľúc;D;3;;;;;P;P;N;;;;;
1;S01-11;False;Komplexná intenzívna starostlivosť o darcu orgánov ;D;3;;;;;P;P;P;;;;;
1;S01-10;False;Komplexná starostlivosť o pacienta podľa druhu strelného poranenia a jeho vplyvu na celkový stav organizmu ;D;3;;;;;P;P;P;;;;;
1;S01-09;False;Kritické poruchy vnútorného prostredia nevyžadujúce špeciálne postupy ;V;3;;;;;P;P;P;;;;;
1;S01-08;False;Podpora krvného obehu vyžadujúca špecializované postupy ;V;3;;;;;P;P;P;;;;;
1;S01-07;False;Podpora dýchania vyžadujúca špecializované postupy ;V;3;;;;;P;P;P;;;;;
1;S01-06;False;Bezvedomie a zabezpečenie DC vyžadujúce špecializované postupy ;V;3;;;;;P;P;P;;;;;
1;S01-05;False;Kritické poruchy vnútorného prostredia vyžadujúce špecializované postupy ;V;3;;;;;P;P;P;;;;;
1;S39-03;True;Polysomnografia a ďalšie diagnostické a terapeutické metódy v spánkovej medicíne;V;3;;;;;P;N;N;;;;;
1;S34-05;True;Iné ochorenia kože, podkožia a slizníc II;D;3;;;;;P;P;P;;;;500*3;
1;S33-06;True;Závažné infekcie nervového systému;D;3;;;;;P;P;P;;;;;
1;S33-03;True;Sepsa II;D;3;;;;;N;N;N;;;;;
1;S28-21;True;Akútne zlyhanie pečene;D;3;;;;;P;P;P;;;;;
1;S28-20;True;Komplexné ochorenie pečene;D;3;;;;;P;P;P;;;;;
1;S28-14;True;Vybrané ochorenia GIT;D;3;;;;;P;P;P;;;;;
1;S27-14;True;Komplexné výkony na trachey a bronchoch II.;V;3;;;;;P;P;N;;;;;
1;S27-13;True;Komplexné výkony na trachey a bronchoch I.;V;3;;;;;P;P;P;;;;;
1;S27-11;True;Pleurálny výpotok II.;D;3;;;;;P;P;P;;;;;
1;S27-08;True;Iné ochorenie dýchacích orgánov II.;D;3;;;;;P;P;P;;;;;
1;S27-07;True;Iné infekcie a zápaly dýchacích orgánov II.;D;3;;;;;P;P;P;;;;;
1;S20-05;True;Dočasná mech. podpora obehu - aspoň jedna metodika;V;3;;;;;P;P;P;;;;;
1;S20-03;True;Medicínska služba pPKI 24/7 u infarktu;V;3;;;;;P;P;P;;;;100;30
1;S07-12;True;Popáleniny hrtana a priedušnice;D;3;;;;;P;P;P;;;;;
1;S07-11;True;Zápalové ochorenia mediastína;D;3;;;;;P;P;P;;;;;
1;S07-10;True;Vybrané ochorenia v hrudnej oblasti;D;3;;;;;P;P;P;;;;;
1;S05-31;True;Iné ochorenia ucha, nosa, úst a krku;D;3;;;;;P;P;P;;;;;
1;S03-51;True;Likvorová drenáž;V;3;;;;;P;P;P;;;;10;
1;S11-19;True;Gravidita s neúspešným koncom;D;2;;;2;2;P;P;P;P;;;;
1;S11-18;True;Hospitalizácia po pôrode;D;2;;;2;2;P;P;P;P;;;;
1;S11-15;True;Pôrod;D;2;;;2;2;P;P;P;P;;;800*1;
1;S11-07;True;Predpôrodná starostlivosť pre menej závažne komplikácie gravidity;D;2;;;2;2;P;P;P;P;;;;
1;S01-22;False;Komplexná starostlivosť o pacienta s krvácaním alebo inou formou šoku v súvislosti s výkonom ;D;2;;;;;P;P;P;P;;;;
1;S01-21;False;Komplexná starostlivosť o pacienta podľa typu vzniku komplikácie anestézie ;D;2;;;;;P;P;P;P;;;;
1;S01-20;False;Manažment pacienta pri sťaženom zabezpečení dýchacích ciest ;D;2;;;;;P;P;P;P;;;;
1;S01-19;False;Komplexná starostlivosť o pacienta po topení sa alebo pritopení sa;D;2;;;;;P;P;P;P;;;;
1;S01-18;False;Komplexná starostlivosť o pacienta po zásahu bleskom;D;2;;;;;P;P;P;P;;;;
1;S01-17;False;Podpora krvného obehu nevyžadujúca špeciálne postupy ;V;2;;;;;P;P;P;P;;;;
1;S01-16;False;Podpora dýchania nevyžadujúca špeciálne postupy ;V;2;;;;;P;P;P;P;;;;
1;S01-15;False;Bezvedomie a zabezpečenie DC nevyžadujúce špeciálne postupy ;V;2;;;;;P;P;P;P;;;;
1;S38-05;True;Organické psychické poruchy;D;2;;;;;P;P;P;P;;;;
1;S38-04;True;Psychické poruchy zapríčinené závislosťou mimo alkoholu;D;2;;;;;P;P;P;P;;;;
1;S37-19;True;Manažment bolesti;D;2;;;;;P;P;N;N;;;;
1;S37-14;True;Náhla cievna mozgová príhoda;D;2;;;;;P;P;P;P;;;60;
1;S37-10;True;Ochorenia mozgových a periférnych nervov;D;2;;;;;P;P;P;P;;;;
1;S37-07;True;Paralytické syndrómy;D;2;;;;;P;P;P;P;;;;
1;S37-06;True;Degeneratívne ochorenia nervového systému;D;2;;;;;P;P;P;P;;;;
1;S37-05;True;Epilepsia a iné záchvaty;D;2;;;;;P;P;P;P;;;;
1;S37-03;True;Stupor a kóma netraumatického pôvodu;D;2;;;;;P;P;P;N;;;;
1;S35-08;True;Anafylaktický šok na potraviny;D;2;;;;;P;P;P;P;;;;
1;S34-04;True;Iné ochorenia kože, podkožia a slizníc;D;2;;;;;P;P;P;P;;;500*3;
1;S33-14;True;Infekcie nervového systému;D;2;;;;;P;P;P;P;;;;
1;S30-10;True;Nefrologická starostlivosť – eliminačné metódy (akútne);V;2;;;;;P;P;P;P;;;;
1;S30-09;True;Darca obličky;D;2;;;;;P;P;P;P;;;;
1;S30-08;True;Insuficiencia obličiek;D;2;;;;;P;P;P;P;;;;
1;S30-07;True;Nefrologická starostlivosť – eliminačné metódy (peritoneálna dialýza - akútna);V;2;;;;;P;P;P;N;;;5;
1;S30-06;True;Nefrologická starostlivosť – eliminačné metódy (kontinuálne metódy);V;2;;;;;P;P;P;N;;;;
1;S29-10;True;Endokrinopatie;D;2;;;;;P;P;P;P;;;;
1;S29-09;True;Diabetes mellitus s komplikáciami;D;2;;;;;P;P;P;P;;;;
1;S29-08;True;Diabetes mellitus;D;2;;;;;P;P;P;P;;;;
1;S29-06;True;Poruchy metabolizmu;D;2;;;;;P;P;P;N;;;;
1;S28-52;True;Akútny peptický vred jejúna;D;2;;;;;P;P;P;P;;;;
1;S28-50;True;Závažné ochorenia pankreasu;D;2;;;;;P;P;P;P;;;;
1;S28-48;True;Gastrointestinálne krvácanie;D;2;;;;;P;P;P;P;;;;
1;S28-47;True;Toxický účinok požitých húb;D;2;;;;;P;P;P;P;;;;
1;S28-46;True;Ochorenia pankreasu II.;D;2;;;;;P;P;P;P;;;;
1;S28-44;True;Komplexné ochorenia GIT;D;2;;;;;P;P;P;P;;;;
1;S28-42;True;Iné ochorenia GIT II.;D;2;;;;;P;P;P;P;;;;
1;S27-28;True;Základné výkony diagnostické a terapeutické výkony v pneumológii;V;2;;;;;P;P;P;N;;;;
1;S27-26;True;Zápal pľúc;D;2;;;;;P;P;P;P;;;;
1;S27-25;True;Pneumotorax;D;2;;;;;P;P;P;P;;;;
1;S27-24;True;Pleurálny výpotok;D;2;;;;;P;P;P;P;;;;
1;S27-21;True;Iné ochorenie dýchacích orgánov;D;2;;;;;P;P;P;P;;;;
1;S27-20;True;Iné infekcie a zápaly dýchacích orgánov;D;2;;;;;P;P;P;P;;;;
1;S27-19;True;CHOCHP a bronchiektázie;D;2;;;;;P;P;P;P;;;;
1;S27-18;True;Bronchitída a iné akútne infekcie DDC;D;2;;;;;P;P;P;P;;;;
1;S27-17;True;Astma bronchiale;D;2;;;;;P;P;P;P;;;;
1;S26-17;True;Synkopa a kolaps;D;2;;;;;P;P;P;P;;;;
1;S26-15;True;Periférne ochorenia ciev;D;2;;;;;P;P;P;P;;;;
1;S26-14;True;Zastavenie srdca;D;2;;;;;P;P;P;P;;;;
1;S26-13;True;Tažká arytmia;D;2;;;;;P;P;P;P;;;;
1;S26-12;True;Respiračná insuficiencia alebo pľúcna embólia;D;2;;;;;P;P;P;P;;;;
1;S26-11;True;Akútny infarkt myokardu;D;2;;;;;P;P;P;P;;;;
1;S26-08;True;Insuficiencia srdca a šok;D;2;;;;;P;P;P;P;;;;
1;S26-07;True;Hypertenzia;D;2;;;;;P;P;P;P;;;;
1;S26-05;True;Arytmia a poruchy vedenia vzruchov;D;2;;;;;P;P;P;P;;;;
1;S26-04;True;Iné ochorenia obehového systému;D;2;;;;;P;P;P;P;;;;
1;S25-20;True;Komplikácie po infúzii, trasfúzii a liečebnej injekcii;D;2;;;;;P;P;P;P;;;;
1;S25-19;True;Dehydratácia, hypokaliémia, iná porucha rovnováhy elektrolytov;D;2;;;;;P;P;P;P;;;;
1;S25-17;True;Varixy a vredy a iné ochorenia GIT;D;2;;;;;P;P;P;P;;;;
1;S25-15;True;Ťažkosti, symptómy a iné anomálie;D;2;;;;;P;P;P;P;;;;
1;S25-14;True;Rôzne poruchy metabolizmu;D;2;;;;;P;P;P;P;;;;
1;S25-13;True;Akútna intoxikácia alkoholom alebo drogami;D;2;;;;;P;P;P;P;;;;
1;S25-12;True;Otravy alebo toxické účinky z vonkajších príčin;D;2;;;;;P;P;P;P;;;;
1;S25-07;True;Hypovolemický a iný šok;D;2;;;;;P;P;P;P;;;;
1;S16-05;True;Menej ťažké popáleniny a poleptania;D;2;;;;;P;P;P;P;;;;
1;S15-20;True;Iné poranenia oka a očných adnexov;D;2;;;;;P;P;P;P;;;;
1;S08-36;True;Obštrukcia GIT;D;2;;;;;P;P;P;N;;;;
1;S08-34;True;Iné ochorenia GIT III.;D;2;;;;;P;P;P;P;;;;
1;S08-32;True;Vredová choroba;D;2;;;;;P;P;P;P;;;;
1;S08-29;True;Základné operačné výkony na čreve;V;2;;;;;P;P;P;P;;;;
1;S02-66;True;Komplikácie po úraze;D;2;;;;;P;P;P;P;;;;
1;S02-61;True;Zlomenina panvy a stehnovej kosti;D;2;;;;;P;P;P;P;;;;
1;S02-60;True;Ťažké poranenia;D;2;;;;;P;P;P;P;;;;
1;S02-59;True;Poranenia miechy a chrbtice;D;2;;;;;P;P;P;P;;;;
1;S02-58;True;Poranenie orgánu;D;2;;;;;P;P;P;P;;;;
1;S02-57;True;Ťažký úraz hrudníka;D;2;;;;;P;P;P;P;;;;
1;S02-55;True;Intrakraniálne poranenia a zlomeniny kránia;D;2;;;;;P;P;P;P;;;;
1;S02-54;True;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí;D;2;;;;;P;P;P;P;;;;
1;S02-52;True;Terapeutická drenáž hrudníka;V;2;;;;;P;P;P;P;;;;
1;S01-23;False;Dlhodobá intenzívna starostlivosť;V;1;;;;;P;P;P;P;P;;;
1;S30-13;True;Nefrologická starostlivosť – eliminačné metódy (hemodialýza, hemodiafiltrácia);V;1;;;;;N;N;N;N;N;;;
1;S30-12;True;Nefrologická starostlivosť – eliminačné metódy (peritoneálna dialýza);V;1;;;;;N;N;N;N;N;;;
1;S14-21;True;Revízia operačnej rany;V;1;;;;;P;P;N;N;N;90;;
1;S05-36;True;Malé výkony v ORL;V;1;;;;;P;P;P;P;N;180;;
2;S13-01;True;Operačné riešenie malígneho tumoru panvy;V;5;;;;;P;;;;;;;
2;S02-01;False;Polytrauma s kraniocerebrálnou traumou;DRGD;4;;;;;P;P;;;;;;
2;S19-01;True;Špecializované operačné výkony na cievach - thorakoabdominálne aneuryzmy;V;4;;;;;P;P;;;;360;5;
2;S18-08;True;Operačné výkony na cievach - koronárne cievy;V;4;;;;;P;P;;;;180;400*2;
2;S18-06;True;Perikardektómia, perikardiotómia a kardiotómia;V;4;;;;;P;P;;;;180;400*2;
2;S18-04;True;Iné operačné výkony na srdci a veľkých cievach;V;4;;;;;P;P;;;;180;400*2;
2;S17-20;True;Odber orgánu pre transplantáciu od mŕtveho darcu;V;4;;;;;P;P;;;;;;
2;S13-07;True;Operačné riešenie infekcie v oblasti panvy;V;4;;;;;P;P;;;;;;
2;S13-06;True;Prenos vaskularizovaného kostného tkaniva;V;4;;;;;P;N;;;;;;
2;S13-05;True;Vysoko komplexné amputácie a exartikulácie;V;4;;;;;P;P;;;;;;
2;S13-03;True;Implantácia komplexnej kostnej náhrady;V;4;;;;;P;P;;;;;;
2;S08-07;True;Resekcie pankreasu;V;4;;;;;P;P;;;;45;30;
2;S08-01;True;Rozšírené a vysoko komplexné resekcie žalúdka;V;4;;;;;P;P;;;;45;25;
