kod_vykonu;nazov_vykonu;kod_ms
5t600;Incízie kostného a kĺbneho tkaniva chrbtice, debridement;S55-01
5t601;Incízie kostného a kĺbneho tkaniva chrbtice, sekvestrotómia;S55-01
5t604;Incízie kostného a kĺbneho tkaniva chrbtice, drenáž;S55-01
5t605;Incízie kostného a kĺbneho tkaniva chrbtice, revízia fistuly;S55-01
5t606;Incízie kostného a kĺbneho tkaniva chrbtice, revízia fistuly so sekvestrotómiou;S55-01
5t60x;Incízie kostného a kĺbneho tkaniva chrbtice, ostatné;S55-01
5t6201;Excízia spondylofytu (osteofytu), 1 segment;S55-01
5t6202;Excízia spondylofytu (osteofytu), 2 segmenty;S55-01
5t6203;Excízia spondylofytu (osteofytu), 3 segmenty;S55-01
5t6204;Excízia spondylofytu (osteofytu), 4 a viac segmentov;S55-01
5t6211;Parciálna excízia tela stavca chrbtice, 1 segment;S55-01
5t6212;Parciálna excízia tela stavca chrbtice, 2 segmenty;S55-01
5t6213;Parciálna excízia tela stavca chrbtice, 3 segmenty;S55-01
5t6214;Parciálna excízia tela stavca chrbtice, 4 a viac segmentov;S55-01
5t621a;Parciálna resekcia  hemivertebry;S55-01
5t621b;Excízia kostného a kĺbneho tkaniva chrbtice dentis epistrophei;S55-01
5t6401;Dorzálna spondylodéza, 1 segment;S55-01
5t6402;Dorzálna spondylodéza, 2 segmenty;S55-01
5t6403;Dorzálna spondylodéza, 3 segmenty;S55-01
5t6404;Dorzálna spondylodéza, 4 segmenty;S55-01
5t6405;Dorzálna spondylodéza, 5 segmentov;S55-01
5t6406;Dorzálna spondylodéza, 6 a viac segmentov;S55-01
5t6321;Kostná náhrada na chrbtici, použite autológnej spongiózy (štepu) alebo kortikospongiózneho štepu;S55-01
5t6300;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien bez obohatenia rastovými bunkami kosti;S55-01
5t6301;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien s obohatením rastovými bunkami kosti;S55-01
5t6310;Kostná náhrada na chrbtici, použite keramického kostného materiálu bez obohatenia rastovými bunkami kosti;S55-01
5t6311;Kostná náhrada na chrbtici, použite keramického kostného materiálu s obohatením rastovými bunkami kosti;S55-01
5t6320;Kostná náhrada na chrbtici, použite humánnej demineralizovanej kostnej matrix;S55-01
5t6322;Kostná náhrada na chrbtici, použitie alogénneho kostného transplantátu;S55-01
5t6323;Kostná náhrada na chrbtici, použitie xenogénneho kostného transplantátu;S55-01
5t63x;Kostná náhrada na chrbtici, ostatné;S55-01
5t6421;Ventrálna spondylodéza, 1 segment;S55-01
5t6422;Ventrálna spondylodéza, 2 segmenty;S55-01
5t6423;Ventrálna spondylodéza, 3 segmenty;S55-01
5t6424;Ventrálna spondylodéza, 4 segmenty;S55-01
5t6425;Ventrálna spondylodéza, 5 segmentov;S55-01
5t6426;Ventrálna spondylodéza, 6 a viac segmentov;S55-01
5t6431;Dorzálna a ventrálna kombinovaná spondylodéza, 1 segment;S55-01
5t6432;Dorzálna a ventrálna kombinovaná spondylodéza, 2 segmenty;S55-01
5t6433;Dorzálna a ventrálna kombinovaná spondylodéza, 3 segmenty;S55-01
5t6434;Dorzálna a ventrálna kombinovaná spondylodéza, 4 segmenty;S55-01
5t6435;Dorzálna a ventrálna kombinovaná spondylodéza, 5 segmentov;S55-01
5t6436;Dorzálna a ventrálna kombinovaná spondylodéza, 6 a viac segmentov;S55-01
5t6501;Náhrada tela stavca implantátom, 1 stavec;S55-01
5t6502;Náhrada tela stavca implantátom, 2 stavce;S55-01
5t6741;Komplexná rekonštrukcia  na chrbtici s dorzálnou fúziou stavca, jednostranná;S55-01
5t6742;Komplexná rekonštrukcia na chrbtici s dorzálnou fúziou stavca, obojstranná;S55-01
5t6721;Komplexná rekonštrukcia  na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 1 skoba;S55-01
5t6722;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 2 skoby;S55-01
5t6723;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 3 skoby;S55-01
5t6724;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 4 skoby;S55-01
5t6725;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 5 skôb;S55-01
5t6726;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 6 skôb;S55-01
5t6727;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 7 skôb;S55-01
5t6728;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 8 skôb;S55-01
5t6729;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 9 skôb;S55-01
5t672a;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 10 skôb;S55-01
5t672b;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 11 skôb;S55-01
5t672c;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 12 skôb;S55-01
5t672d;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 13 skôb;S55-01
5t69x2;Odstránenie osteosyntetického materiálu z chrbtice;S55-01
5t69x4;Revízia po operácii chrbtice;S55-01
5t69xx;Iné operácie na chrbtici, ostatné;S55-01
5t06f0;Osteosyntéza vnútorným predlžovacím alebo posuvným systémom, nemotorizovaná;S55-01
5t6731;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 1 segment;S55-01
5t6732;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 2 segmenty;S55-01
5t6733;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 3 segmenty;S55-01
5t6734;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 4 segmenty;S55-01
5t6735;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 5 segmentov;S55-01
5t6736;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 6 segmentov;S55-01
5t6737;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 7 a viac segmentov;S55-01
5t6411;Predĺženie dorzálnej spondylodézy s použitím konektora, 1 segment;S55-01
5t6412;Predĺženie dorzálnej spondylodézy s použitím konektora, 2 segmenty;S55-01
5t6413;Predĺženie dorzálnej spondylodézy s použitím konektora, 3 segmenty;S55-01
5t6414;Predĺženie dorzálnej spondylodézy s použitím konektora, 4 segmenty;S55-01
5t6415;Predĺženie dorzálnej spondylodézy s použitím konektora, 5 segmentov;S55-01
5t6416;Predĺženie dorzálnej spondylodézy s použitím konektora, 6 a viac segmentov;S55-01
5t6241;Totálna artrektómia, 1 segment;S55-01
5t6242;Totálna artrektómia, 2 segmenty;S55-01
5t6243;Totálna artrektómia, 3 segmenty;S55-01
5t6244;Totálna artrektómia, 4 a viac segmentov;S55-01
5t668b1;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí s potrebou opakovanej otvorenej redistrakcie , 1 segment;S55-01
5t668b2;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí s potrebou opakovanej otvorenej redistrakcie , 2 segmenty;S55-01
5t668b3;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí s potrebou opakovanej otvorenej redistrakcie , 3 segmenty;S55-01
5t668b4;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí s potrebou opakovanej otvorenej redistrakcie , 4 a viac segmentov;S55-01
5t668c1;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí bez potreby opakovanej otvorenej redistrakcie, 1 segment;S55-01
5t668c2;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí bez potreby opakovanej otvorenej redistrakcie, 2 segmenty;S55-01
5t668c3;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí bez potreby opakovanej otvorenej redistrakcie, 3 segmenty;S55-01
5t668c4;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí bez potreby opakovanej otvorenej redistrakcie, 4 a viac segmentov;S55-01
5t600;Incízie kostného a kĺbneho tkaniva chrbtice, debridement;S55-02
5t601;Incízie kostného a kĺbneho tkaniva chrbtice, sekvestrotómia;S55-02
5t604;Incízie kostného a kĺbneho tkaniva chrbtice, drenáž;S55-02
5t605;Incízie kostného a kĺbneho tkaniva chrbtice, revízia fistuly;S55-02
5t606;Incízie kostného a kĺbneho tkaniva chrbtice, revízia fistuly so sekvestrotómiou;S55-02
5t60x;Incízie kostného a kĺbneho tkaniva chrbtice, ostatné;S55-02
5t6201;Excízia spondylofytu (osteofytu), 1 segment;S55-02
5t6202;Excízia spondylofytu (osteofytu), 2 segmenty;S55-02
5t6203;Excízia spondylofytu (osteofytu), 3 segmenty;S55-02
5t6204;Excízia spondylofytu (osteofytu), 4 a viac segmentov;S55-02
5t6211;Parciálna excízia tela stavca chrbtice, 1 segment;S55-02
5t6212;Parciálna excízia tela stavca chrbtice, 2 segmenty;S55-02
5t6213;Parciálna excízia tela stavca chrbtice, 3 segmenty;S55-02
5t6214;Parciálna excízia tela stavca chrbtice, 4 a viac segmentov;S55-02
5t621a;Parciálna resekcia  hemivertebry;S55-02
5t621b;Excízia kostného a kĺbneho tkaniva chrbtice dentis epistrophei;S55-02
5t6401;Dorzálna spondylodéza, 1 segment;S55-02
5t6402;Dorzálna spondylodéza, 2 segmenty;S55-02
