kod_vykonu;nazov_vykonu;nazov_ms;kod_ms;kod_markera;hodnota_markera
5t06f0;Osteosyntéza vnútorným predlžovacím alebo posuvným systémom, nemotorizovaná;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t600;Incízie kostného a kĺbneho tkaniva chrbtice, debridement;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t601;Incízie kostného a kĺbneho tkaniva chrbtice, sekvestrotómia;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t604;Incízie kostného a kĺbneho tkaniva chrbtice, drenáž;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t605;Incízie kostného a kĺbneho tkaniva chrbtice, revízia fistuly;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t606;Incízie kostného a kĺbneho tkaniva chrbtice, revízia fistuly so sekvestrotómiou;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t60x;Incízie kostného a kĺbneho tkaniva chrbtice, ostatné;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6201;Excízia spondylofytu (osteofytu), 1 segment;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6202;Excízia spondylofytu (osteofytu), 2 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6203;Excízia spondylofytu (osteofytu), 3 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6204;Excízia spondylofytu (osteofytu), 4 a viac segmentov;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6211;Parciálna excízia tela stavca chrbtice, 1 segment;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6212;Parciálna excízia tela stavca chrbtice, 2 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6213;Parciálna excízia tela stavca chrbtice, 3 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6214;Parciálna excízia tela stavca chrbtice, 4 a viac segmentov;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t621a;Parciálna resekcia  hemivertebry;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t621b;Excízia kostného a kĺbneho tkaniva chrbtice dentis epistrophei;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6241;Totálna artrektómia, 1 segment;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6242;Totálna artrektómia, 2 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6243;Totálna artrektómia, 3 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6244;Totálna artrektómia, 4 a viac segmentov;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6300;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien bez obohatenia rastovými bunkami kosti;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6301;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien s obohatením rastovými bunkami kosti;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6310;Kostná náhrada na chrbtici, použite keramického kostného materiálu bez obohatenia rastovými bunkami kosti;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6311;Kostná náhrada na chrbtici, použite keramického kostného materiálu s obohatením rastovými bunkami kosti;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6320;Kostná náhrada na chrbtici, použite humánnej demineralizovanej kostnej matrix;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6321;Kostná náhrada na chrbtici, použite autológnej spongiózy (štepu) alebo kortikospongiózneho štepu;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6322;Kostná náhrada na chrbtici, použitie alogénneho kostného transplantátu;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6323;Kostná náhrada na chrbtici, použitie xenogénneho kostného transplantátu;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t63x;Kostná náhrada na chrbtici, ostatné;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6401;Dorzálna spondylodéza, 1 segment;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6402;Dorzálna spondylodéza, 2 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6403;Dorzálna spondylodéza, 3 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6404;Dorzálna spondylodéza, 4 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6405;Dorzálna spondylodéza, 5 segmentov;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6406;Dorzálna spondylodéza, 6 a viac segmentov;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6411;Predĺženie dorzálnej spondylodézy s použitím konektora, 1 segment;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6412;Predĺženie dorzálnej spondylodézy s použitím konektora, 2 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6413;Predĺženie dorzálnej spondylodézy s použitím konektora, 3 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6414;Predĺženie dorzálnej spondylodézy s použitím konektora, 4 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6415;Predĺženie dorzálnej spondylodézy s použitím konektora, 5 segmentov;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6416;Predĺženie dorzálnej spondylodézy s použitím konektora, 6 a viac segmentov;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6421;Ventrálna spondylodéza, 1 segment;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6422;Ventrálna spondylodéza, 2 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6423;Ventrálna spondylodéza, 3 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6424;Ventrálna spondylodéza, 4 segmenty;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6425;Ventrálna spondylodéza, 5 segmentov;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6426;Ventrálna spondylodéza, 6 a viac segmentov;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
5t6431;Dorzálna a ventrálna kombinovaná spondylodéza, 1 segment;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;mSTA;C0-CO
