kod_vykonu;nazov_vykonu;nazov_ms;kod_ms
13n094;Biopsia s incíziou peritonea;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5j5540;Excízia chorého tkaniva bránice bez uzáveru aloplastickým materiálom;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5m201;Transabdominálna totálna splenektómia, laparotomicky;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n129;Iná atypická parciálna resekcia žalúdka;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n12x;Ostatná revízia po resekcii žalúdka;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n13a0;Subtotálna resekcia žalúdka (4/5) s gastrojejunostómiou analogicky Billroth-II bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n13a1;Subtotálna resekcia žalúdka (4/5) s gastrojejunostómiou analogicky Billroth-II so systematickým čiastočným odstránenim lymfatických uzlín;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n13a2;Subtotálna resekcia žalúdka (4/5) s gastrojejunostómiou analogicky Billroth-II s lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n13b0;Subtotálna resekcia žalúdka (4/5) s gastrojejunostómiou pomocou Roux-Y-anastomózy bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n13b1;Subtotálna resekcia žalúdka (4/5) s gastrojejunostómiou pomocou Roux-Y-anastomózy so systematickým čiastočným odstránenim lymfatických uzlín;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n13b2;Subtotálna resekcia žalúdka (4/5) s gastrojejunostómiou pomocou Roux-Y-anastomózy s lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n13x0;Iné subtotálne resekcie žalúdka (4/5) bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n13x1;Iné subtotálne resekcie žalúdka (4/5) so systematickým čiastočným odstránenim lymfatických uzlín;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n13x2;Iné subtotálne resekcie žalúdka (4/5) s lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1400;Totálna gastrektómia s ezofagojejunostómiou analogicky Billroth-II bez tvorby rezervoára bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1401;Totálna gastrektómia s ezofagojejunostómiou analogicky Billroth-II bez tvorby rezervoára so systematickým čiastočným odstránenim lymfatických uzlín;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1402;Totálna gastrektómia s ezofagojejunostómiou analogicky Billroth-II bez tvorby rezervoára s lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1410;Totálna gastrektómia s ezofagojejunostómiou analogicky Billroth-II s tvorbou rezervoára bez lymfadenektómie;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1411;Totálna gastrektómia s ezofagojejunostómiou analogicky Billroth-II s tvorbou rezervoára so systematickým čiastočným odstránením lymfatických uzlín;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
5n1412;Totálna gastrektómia s ezofagojejunostómiou analogicky Billroth-II s tvorbou rezervoára s lymfadenektómiou;Chirurgická hypertermická chemoterapia – HIPEC;S44-21
