skupina_diagnoz;kod_hlavnej_diagnozy;nazov_diagnozy
Akútna leukémia;c9100;Akútna lymfoblastová leukémia, bez kompletnej remisie
Akútna leukémia;c9101;Akútna lymfoblastová leukémia, v kompletnej remisii
Akútna leukémia;c9130;Prolymfocytová leukémia z B-buniek, bez kompletnej remisie
Akútna leukémia;c9150;Leukémia /lymfóm z dospelých T-buniek spojený s infekciou HTLV-1, bez kompletnej remisie
Akútna leukémia;c9151;Leukémia /lymfóm z dospelých T-buniek spojený s infekciou HTLV-1, v kompletnej remisii
Akútna leukémia;c9160;Prolymfocytová leukémia z T-buniek, bez kompletnej remisie
Akútna leukémia;c9161;Prolymfocytová leukémia z T-buniek, v kompletnej remisii
Akútna leukémia;c9180;Leukémia zo zrelých B-buniek Burkittovho typu, bez kompletnej remisie
Akútna leukémia;c9181;Leukémia zo zrelých B-buniek Burkittovho typu, v kompletnej remisii
Akútna leukémia;c9190;Lymfatická leukémia, bližšie neurčená, bez kompletnej remisie
Akútna leukémia;c9191;Lymfatická leukémia, bližšie neurčená, v kompletnej remisii
Akútna leukémia;c9200;Akútna myeloblastová leukémia (AML), bez kompletnej remisie
Akútna leukémia;c9201;Akútna myeloblastová leukémia (AML), v kompletnej remisii
Akútna leukémia;c9230;Myelosarkóm, bez kompletnej remisie
Akútna leukémia;c9231;Myelosarkóm, v kompletnej remisii
Akútna leukémia;c9240;Akútna promyelocytová leukémia, bez kompletnej remisie
Akútna leukémia;c9241;Akútna promyelocytová leukémia, v kompletnej remisii
Akútna leukémia;c9250;Akútna myelomonocytová leukémia, bez kompletnej remisie
Akútna leukémia;c9251;Akútna myelomonocytová leukémia, v kompletnej remisii
Akútna leukémia;c9260;Akútna myeloická leukémia s 11q23 abnormalitou, bez kompletnej remisie
Akútna leukémia;c9261;Akútna myeloická leukémia s 11q23 abnormalitou, v kompletnej remisii
Akútna leukémia;c9270;Iná myeloická leukémia, bez kompletnej remisie
Akútna leukémia;c9271;Iná myeloická leukémia, v kompletnej remisii
Akútna leukémia;c9280;Akútna myeloická leukémia s multilineárnou dyspláziou, bez kompletnej remisie
Akútna leukémia;c9281;Akútna myeloická leukémia s multilineárnou dyspláziou, v kompletnej remisii
Akútna leukémia;c9290;Myeloická leukémia, bližšie neurčená, bez kompletnej remisie
Akútna leukémia;c9291;Myeloická leukémia, bližšie neurčená, v kompletnej remisii
Akútna leukémia;c9300;Akútna monoblastová/monocytová leukémia, bez kompletnej remisie
Akútna leukémia;c9301;Akútna monoblastová/monocytová leukémia, v kompletnej remisii
Akútna leukémia;c9370;Iná monocytová leukémia, bez kompletnej remisie
Akútna leukémia;c9371;Iná monocytová leukémia, v kompletnej remisii
Akútna leukémia;c9390;Monocytová leukémia, bližšie neurčená, bez kompletnej remisie
Akútna leukémia;c9391;Monocytová leukémia, bližšie neurčená, v kompletnej remisii
Akútna leukémia;c9400;Akútna erytroleukémia, bez kompletnej remisie
Akútna leukémia;c9401;Akútna erytroleukémia, v kompletnej remisii
Akútna leukémia;c9420;Akútna megakaryoblastová leukémia, bez kompletnej remisie
Akútna leukémia;c9421;Akútna megakaryoblastová leukémia, v kompletnej remisii
Akútna leukémia;c9430;Mastocytová leukémia, bez kompletnej remisie
Akútna leukémia;c9431;Mastocytová leukémia, v kompletnej remisii
Akútna leukémia;c9440;Akútna panmyelóza s myelofibrózou, bez kompletnej remisie
Akútna leukémia;c9441;Akútna panmyelóza s myelofibrózou, v kompletnej remisii
Akútna leukémia;c9470;Iná bližšie určená leukémia, bez kompletnej remisie
Akútna leukémia;c9471;Iná bližšie určená leukémia, v kompletnej remisii
Akútna leukémia;c948;Blastová kríza pri chronickej myeloickej leukémii (CML)
Akútna leukémia;c9500;Akútna leukémia bližšie neurčeného bunkového typu, bez kompletnej remisie
Akútna leukémia;c9501;Akútna leukémia bližšie neurčeného bunkového typu, v kompletnej remisii
Akútna leukémia;c9570;Iná leukémia bližšie neurčeného bunkového typu, bez kompletnej remisie
Akútna leukémia;c9571;Iná leukémia bližšie neurčeného bunkového typu, v kompletnej remisii
Akútna leukémia;c9590;Leukémia, bližšie neurčená, bez kompletnej remisie
Akútna leukémia;c9591;Leukémia, bližšie neurčená, v kompletnej remisii
Akútna leukémia;d462;Refraktérna anémia s veľkým množstvom blastov
Akútne zlyhanie pečene;k720;Akútne a subakútne pečeňové zlyhávanie
Akútny peptický vred jejúna;k280;Peptický vred jejúna, akútny s krvácaním
Ascites;r18;Ascites
Barrettov pažerák;k227;Barrettov pažerák
Bolesti hlavy - vybrané diagnózy;g432;Status migraenosus [migrénový stav]
Bolesti hlavy - vybrané diagnózy;g433;Komplikovaná migréna
Bolesti hlavy - vybrané diagnózy;g440;Syndróm klastrovej bolesti hlavy [Cluster headache syndrome]
Bolesti hlavy - vybrané diagnózy;g932;Benígna intrakraniálna hypertenzia
Bolesti hlavy - vybrané diagnózy;g971;Iná reakcia na spinálnu a lumbálnu punkciu
Cerebelárna ataxia;g110;Vrodená neprogredujúca ataxia
Cerebelárna ataxia;g111;Cerebelárna ataxia so skorým začiatkom
Cerebelárna ataxia;g112;Cerebelárna ataxia s neskorým začiatkom
Cerebelárna ataxia;g113;Cerebelárna ataxia s poruchou reparácie DNA
Cerebelárna ataxia;g114;Dedičná spastická paraplégia
Cerebelárna ataxia;g118;Iná dedičná ataxia
Cerebelárna ataxia;g119;Dedičná ataxia, bližšie neurčená
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;f842;Rettov syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g14;Postpoliomyelitický syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g211;Iný sekundárny Parkinsonov syndróm zapríčinený liekmi
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g212;Sekundárny Parkinsonov syndróm zapríčinený inými vonkajšími faktormi
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g213;Parkinsonov syndróm po zápale mozgu
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g214;Vaskulárny Parkinsonov syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g218;Iný sekundárny Parkinsonov syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g219;Sekundárny Parkinsonov syndróm, bližšie neurčený
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g22;Parkinsonov syndróm pri chorobách zatriedených inde
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g240;Dystónia zapríčinená liekmi
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g244;Idiopatická orofaciálna dystónia
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g248;Iná dystónia
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g249;Dystónia, bližšie neurčená
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g2580;Periodické pohyby nôh v spánku
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g2581;Syndróm nepokojných nôh
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g2588;Iná extrapyramídová porucha a porucha hybnosti, bližšie určená
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g259;Extrapyramídová porucha a porucha hybnosti, bližšie neurčená
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g26;Extrapyramídové poruchy a poruchy hybnosti pri chorobách zatriedených inde
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g903;Multisystémová degenerácia
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g910;Komunikujúci hydrocefalus
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g911;Obštrukčný hydrocefalus
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g9120;Idiopatický normotenzný hydrocefalus
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g9121;Sekundárny normotenzný hydrocefalus
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g9129;Normotenzný hydrocefalus, bližšie neurčený
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g913;Poúrazový hydrocefalus, bližšie neurčený
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g918;Iný hydrocefalus
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g919;Hydrocefalus, bližšie neurčený
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g931;Anoxické poškodenie mozgu, nezatriedené inde
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g937;Reyeov syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g950;Syringomyelia a syringobulbia
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;i673;Progresívna subkortikálna cievna encefalopatia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;a810;Creutzfeldtova-Jakobova choroba
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;a811;Subakútna sklerotizujúca panencefalitída
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;a812;Progresívna multifokálna leukoencefalopatia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;a818;Iná pomalá vírusová infekcia centrálnej nervovej sústavy
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;a819;Pomalá vírusová infekcia centrálnej nervovej sústavy, bližšie neurčená
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g10;Huntingtonova choroba
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g120;Detská spinálna svalová atrofia, typ I [Werdnigov-Hoffmanov typ]
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g121;Iná zdedená spinálna svalová atrofia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g122;Choroba motorického neurónu
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g128;Iná spinálna svalová atrofia a príbuzný syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g129;Spinálna svalová atrofia, bližšie neurčená
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g130;Paraneoplastická neuromyopatia a neuropatia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g131;Iná systémová atrofia postihujúca najmä centrálny nervový systém pri nádorovej chorobe
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g132;Systémová atrofia postihujúca najmä centrálny nervový systém pri myxedéme (E00.1†, E03.-†)
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g138;Systémová atrofia postihujúca najmä centrálny nervový systém pri iných chorobách zatriedených inde
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g2090;Parkinsonova choroba, bližšie neurčená, bez motorickej fluktuácie
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g210;Malígny neuroleptický syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g230;Hallervordenova-Spatzova choroba
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g231;Progresívna supranukleárna oftalmoplégia [Steele-Richardson-Olszewski syndrom]
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g232;Striatonigrálna degenerácia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g238;Iná degeneratívna choroba bazálnych ganglií, bližšie určená
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g239;Degeneratívna choroba bazálnych ganglií, bližšie neurčená
