skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_markera;hodnota_markera;kod_ms;nazov_ms
Diagnózy v pracovnom lekárstve;f431;Posttraumatická stresová porucha;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g551;Kompresia nervových koreňov a spletí pri poškodení medzistavcových platničiek (M50-M51†);mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g552;Kompresia nervových koreňov a spletí pri spondylóze (M47.-†);mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g553;Kompresia nervových koreňov a spletí pri iných dorzopatiách (M45-M46†, M48.-†, M53-M54†);mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g558;Kompresia nervových koreňov a spletí pri iných chorobách zatriedených inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g560;Syndróm karpálneho tunela;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g561;Iné poškodenie n. medianus;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g562;Poškodenie n. ulnaris;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g563;Poškodenie n. radialis;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g568;Iná mononeuropatia hornej končatiny;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g569;Mononeuropatia hornej končatiny, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h102;Iná akútna konjunktivitída;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h104;Chronická konjunktivitída;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h105;Blefarokonjunktivitída;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h268;Iná katarakta, bližšie určená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h55;Nystagmus a iné nepravidelné pohyby oka;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h728;Iná perforácia blany bubienka;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h833;Vplyv hluku na vnútorné ucho;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h90-;Prevodová a percepčná strata sluchu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h910;Ototoxická strata sluchu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h918;Iná strata sluchu, bližšie určená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;h931;Zvonenie v ušiach [tinnitus aurium];mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;i10-;Primárna [esenciálna] artériová hypertenzia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;i158-;Iná sekundárna artériová hypertenzia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;i159-;Sekundárna artériová hypertenzia, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;i516;Srdcovocievna choroba, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;i730;Raynaudov syndróm;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;i738;Iné choroby periférnych ciev, bližšie určené;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;i739;Choroba periférnych ciev, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;i792;Periférna angiopatia pri chorobách zatriedených inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;i798;Iná choroba tepien, tepničiek a vlásočníc pri chorobách zatriedených inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k700;Alkoholová tuková choroba pečene;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k701;Alkoholová hepatitída;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k703;Alkoholová cirhóza pečene;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k710;Toxická choroba pečene s cholestázou;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k711;Toxická choroba pečene s pečeňovou nekrózou;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k712;Toxická choroba pečene s akútnou hepatitídou;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k713;Toxická choroba pečene s chronickou perzistujúcou hepatitídou;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k715;Toxická choroba pečene s chronickou aktívnou hepatitídou;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k717;Toxická choroba pečene s fibrózou a cirhózou pečene;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k718;Toxická choroba pečene s inými poruchami pečene;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;k719;Toxická choroba pečene, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r000;Tachykardia, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r001;Bradykardia, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r008;Iná a bližšie neurčená porucha srdcovej činnosti;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r03-;Abnormálne hodnoty krvného tlaku bez určenia diagnózy;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r060;Dýchavičnosť (dyspnoe);mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r061;Stridor (hvizdot) pri dýchaní;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r062;Sipenie (pískanie) pri dýchaní;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r091;Zápal pohrudnice;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r101;Bolesť v hornej časti brucha;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r11;Pocit na vracanie (nauzea) a vracanie (vomitus);mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r16-;Hepatomegália a splenomegália, nezatriedené inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r17;Žltačka, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r230;Cyanóza;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r42;Závrat [vertigo];mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r43-;Poruchy čuchu a chuti;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r450;Nervozita;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r451;Nepokoj a vzrušenosť;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r457;Stav emočného šoku a stresu, bližšie neurčený;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r490;Dysfónia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r491;Afónia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r5080;Horúčka neznámeho pôvodu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r53;Malátnosť a únava;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r55;Synkopa a kolaps;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r590;Lokalizované zväčšenie lymfatických uzlín;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r600;Lokalizovaný opuch;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r601;Generalizovaný opuch;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r787;Nález abnormálnej koncentrácie ťažkého kovu v krvi;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r788;Nález inej bližšie určenej látky, ktorá sa normálne v krvi nenachádza;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r826;Abnormálna koncentrácia látky prevažne nemedicínskeho pôvodu v moči;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r829;Iné a bližšie neurčené abnormálne nálezy v moči;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;r936;Abnormálny nález pri diagnostickom zobrazení končatín;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
